"property_city","won_usd","perc_total"
"NEW YORK",4588343.0,0.21246279921594677
"BROOKLYN",4412137.0,0.20430359664572806
NULL,4057478.0,0.18788114437763725
"New York",1926143.0,0.08918987387608149
"LOS ANGELES",378329.0,0.01751848943389148
"Los Angeles",354673.0,0.016423100536798903
"BRONX",341108.0,0.015794974463537965
"JERSEY CITY",312210.0,0.014456855240162025
"JACKSON HEIGHTS",258598.0,0.011974356527322696
"HOBOKEN",200747.0,0.009295571310646058
"LONG ISLAND CITY",167432.0,0.007752923309858134
"KEW GARDENS",138097.0,0.006394568841807294
"Pleasantville",134179.0,0.006213146213349029
"FOREST HILLS",115261.0,0.005337149969047485
"Brooklyn",110076.0,0.005097059022504324
"BURBANK",103444.0,0.004789964874486148
"SPRINGFIELD GARDENS",101754.0,0.004711709580434473
"CULVER CITY",100569.0,0.004656838264782854
"DIAMOND BAR",99110.0,0.004589279404415164
"WEST ORANGE",98958.0,0.004582241058441285
"SOUTHAMPTON",98083.0,0.00454172426418376
"Scarsdale",97811.0,0.004529129329283135
"BLOOMFIELD",96104.0,0.00445008685180017
"TARZANA",95172.0,0.004406930677802442
"LONG BEACH",94178.0,0.0043609035995258935
"EAST NORTHPORT",92608.0,0.004288204894400963
"Hastings-on-Hudson",92263.0,0.004272229701236568
"INGLEWOOD",89922.0,0.004163829912257293
"Ramsey",87844.0,0.004067608314009138
"REDONDO BEACH",84570.0,0.003916006046124411
"Bronx",84518.0,0.003913598190922821
"LINCOLN PARK",82680.0,0.003828489770528158
"RIVER EDGE",81036.0,0.0037523645022317343
"Huntington Beach",79270.0,0.003670590035193119
"WHITE PLAINS",78250.0,0.003623359029315776
"GLEN RIDGE",76962.0,0.0035637183081686998
"GRANADA HILLS",72550.0,0.0033594210552953295
"EAST HAMPTON",70320.0,0.0032561611110732956
"STUDIO CITY",69240.0,0.003206151810732579
"SCARSDALE",62408.0,0.0028897966811698267
"HAWTHORNE",60270.0,0.002790796788458298
"PORT CHESTER",57002.0,0.002639472350019909
"West Hollywood",53707.0,0.002486897679073002
"SOUTH OZONE PARK",53327.0,0.002469301814138305
"EAST SETAUKET",52576.0,0.0024345268284384184
"Massapequa",52050.0,0.0024101704469761806
"Jersey City",51913.0,0.0024038266746181456
"Torrance",50779.0,0.0023513169092603935
"Sag Harbor",50142.0,0.0023218206830409155
"FLUSHING",49201.0,0.0022782477648736806
"West Orange",48311.0,0.0022370363970003124
"KATONAH",47947.0,0.0022201814105891823
"GARRISON",47947.0,0.0022201814105891823
"WESTFIELD",47778.0,0.0022123558811840147
"STATEN ISLAND",47392.0,0.002194482186802981
"WOODSIDE",47269.0,0.002188786683153066
"PLAINVIEW",44910.0,0.0020795534058347795
"CRANFORD",44634.0,0.0020667732513032634
"PLEASANTVILLE",44230.0,0.0020480660685832175
"Manhattan",44209.0,0.002047093665521037
"MORRISTOWN",42477.0,0.0019668935653449995
"Ossining",41846.0,0.001937675168571859
"ARDSLEY",41474.0,0.0019204497428989456
"Armonk",41327.0,0.0019136429214636815
"Hoboken",40735.0,0.0018862304160917334
"CARMEL",39029.0,0.001807234243516491
"SUN VALLEY",38138.0,0.0017659765707354002
"CORTLANDT MANOR",37007.0,0.0017136057201008169
"BRONXVILLE",36991.0,0.0017128648415772507
"NEW ROCHELLE",36241.0,0.0016781361607850868
"West New York",34207.0,0.0015839519784767381
"SAG HARBOR",33224.0,0.0015384342541851417
"VAN NUYS",32854.0,0.0015213014383276741
"QUOGUE",32281.0,0.0014947687262024608
"Southampton",32063.0,0.0014846742563188718
"MONTCLAIR",31139.0,0.0014418885215829258
"RANCHO PALOS VERDES",30424.0,0.001408780512561063
"CENTERPORT",27666.0,0.001281071577061345
"Bronxville",26952.0,0.001248009872947205
"BROOKHAVEN",25459.0,0.0011788766457169373
"HOLLIS",23632.0,0.0010942775793072257
"Summit",22554.0,0.0010443608887819554
"OAKLAND GARDENS",21326.0,0.0009874984620982523
"Harrison",19591.0,0.0009071594471990462
"ALBERTSON",18964.0,0.0008781262700567971
"CEDAR GROVE",18872.0,0.0008738662185462917
"WOODHAVEN",18841.0,0.0008724307664068823
"IRVINGTON",18530.0,0.0008580299401050649
"MAPLEWOOD",18097.0,0.0008379799150610556
"Forest Hills",17561.0,0.000813160484521589
"Rye Brook",16452.0,0.0007618083418569092
